"filename", "language", "JavaScript", "PostCSS", "XML", "Markdown", "vue", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 11, 24
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\package-lock.json", "JSON", 0, 0, 0, 0, 0, 2237, 0, 0, 1, 2238
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\package.json", "JSON", 0, 0, 0, 0, 0, 24, 0, 0, 1, 25
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\public\vite.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\App.vue", "vue", 0, 0, 0, 0, 7, 0, 0, 0, 6, 13
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\activateIcon.svg", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\arrowDownIcon.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\buildingIcon.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\calendarIcon.svg", "XML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\cameraIcon.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\cityIcon.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 1, 1, 49
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\clockIcon.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\clubsIcon.svg", "XML", 0, 0, 21, 0, 0, 0, 0, 1, 0, 22
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\courtIcon.svg", "XML", 0, 0, 12, 0, 0, 0, 0, 1, 1, 14
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\crossIcon.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\dashboardIcon.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\deactivateIcon.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\editIcon.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\emailIcon.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\flagIcon.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\flagPersonIcon.svg", "XML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\globeIcon.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\hashIcon.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\importIcon.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\locationIcon.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\magnifyingGlassIcon.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\nl.svg", "XML", 0, 0, 17, 0, 0, 0, 0, 1, 0, 18
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\passwordIcon.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\personIcon.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\phoneIcon.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\playerIcon.svg", "XML", 0, 0, 49, 0, 0, 0, 0, 1, 1, 51
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\plusIcon.svg", "XML", 0, 0, 13, 0, 0, 0, 0, 1, 3, 17
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\recycleBinIcon.svg", "XML", 0, 0, 18, 0, 0, 0, 0, 1, 1, 20
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\rightArrowIcon.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\signOutIcon.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\tennis-shielf.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\tennisLogo.svg", "XML", 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\trainerIcon.svg", "XML", 0, 0, 34, 0, 0, 0, 0, 1, 1, 36
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\trainingsIcon.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\uk.svg", "XML", 0, 0, 84, 0, 0, 0, 0, 1, 0, 85
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\assets\waitingIcon.svg", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\clubspage\atoms\ClubFooter.vue", "vue", 0, 0, 0, 0, 30, 0, 0, 0, 28, 58
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\clubspage\atoms\ClubInputs.vue", "vue", 0, 0, 0, 0, 132, 0, 0, 0, 81, 213
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\clubspage\atoms\EmptyTab.vue", "vue", 0, 0, 0, 0, 11, 0, 0, 0, 10, 21
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\clubspage\atoms\FormButtons.vue", "vue", 0, 0, 0, 0, 25, 0, 0, 0, 15, 40
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\clubspage\atoms\ImageSubmitButton.vue", "vue", 0, 0, 0, 0, 53, 0, 0, 0, 40, 93
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\clubspage\molecules\ClubInformation.vue", "vue", 0, 0, 0, 0, 145, 0, 0, 0, 101, 246
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\clubspage\molecules\ClubsTable.vue", "vue", 0, 0, 0, 0, 96, 0, 0, 0, 91, 187
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\clubspage\molecules\Tabs.vue", "vue", 0, 0, 0, 0, 37, 0, 0, 0, 36, 73
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\clubspage\organisms\Clubs.vue", "vue", 0, 0, 0, 0, 69, 0, 0, 0, 50, 119
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\clubspage\templates\ClubsPage.vue", "vue", 0, 0, 0, 0, 10, 0, 0, 0, 8, 18
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\courtspage\atoms\ArchivedTab.vue", "vue", 0, 0, 0, 0, 11, 0, 0, 0, 10, 21
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\courtspage\atoms\CourtInputs.vue", "vue", 0, 0, 0, 0, 152, 0, 0, 0, 85, 237
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\courtspage\atoms\CourtsFooter.vue", "vue", 0, 0, 0, 0, 30, 0, 0, 0, 28, 58
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\courtspage\atoms\FormButtons.vue", "vue", 0, 0, 0, 0, 25, 0, 0, 0, 15, 40
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\courtspage\atoms\ImageSubmitButton.vue", "vue", 0, 0, 0, 0, 61, 0, 0, 0, 52, 113
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\courtspage\molecules\CourtInformation.vue", "vue", 0, 0, 0, 0, 129, 0, 0, 0, 81, 210
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\courtspage\molecules\CourtsTable.vue", "vue", 0, 0, 0, 0, 96, 0, 0, 1, 91, 188
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\courtspage\molecules\Tabs.vue", "vue", 0, 0, 0, 0, 37, 0, 0, 0, 36, 73
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\courtspage\organisms\Courts.vue", "vue", 0, 0, 0, 0, 66, 0, 0, 0, 46, 112
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\courtspage\templates\CourtsPage.vue", "vue", 0, 0, 0, 0, 10, 0, 0, 0, 8, 18
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\dashboard\atoms\Icons.vue", "vue", 0, 0, 0, 0, 46, 0, 0, 0, 28, 74
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\dashboard\atoms\SchoolAdmin.vue", "vue", 0, 0, 0, 0, 19, 0, 0, 0, 16, 35
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\dashboard\atoms\SignOut.vue", "vue", 0, 0, 0, 0, 15, 0, 0, 0, 14, 29
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\dashboard\atoms\TennisFoodLogo.vue", "vue", 0, 0, 0, 0, 13, 0, 0, 0, 13, 26
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\dashboard\templates\Dashboard.vue", "vue", 0, 0, 0, 0, 67, 0, 0, 0, 24, 91
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\hashtagspage\atoms\ArchivedTab.vue", "vue", 0, 0, 0, 0, 11, 0, 0, 0, 10, 21
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\hashtagspage\atoms\Dropdown.vue", "vue", 0, 0, 0, 0, 58, 0, 0, 0, 20, 78
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\hashtagspage\atoms\FormButtons.vue", "vue", 0, 0, 0, 0, 35, 0, 0, 41, 22, 98
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\hashtagspage\atoms\HashtagInputs.vue", "vue", 0, 0, 0, 0, 80, 0, 0, 0, 48, 128
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\hashtagspage\atoms\HashtagsFooter.vue", "vue", 0, 0, 0, 0, 30, 0, 0, 0, 28, 58
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\hashtagspage\atoms\ImageSubmitButton.vue", "vue", 0, 0, 0, 0, 61, 0, 0, 0, 52, 113
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\hashtagspage\molecules\ConfirmationBox.vue", "vue", 0, 0, 0, 0, 33, 0, 0, 0, 29, 62
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\hashtagspage\molecules\HashtagInformation.vue", "vue", 0, 0, 0, 0, 83, 0, 0, 0, 65, 148
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\hashtagspage\molecules\HashtagsTable.vue", "vue", 0, 0, 0, 0, 76, 0, 0, 0, 66, 142
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\hashtagspage\molecules\Tabs.vue", "vue", 0, 0, 0, 0, 37, 0, 0, 0, 36, 73
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\hashtagspage\organisms\Hashtags.vue", "vue", 0, 0, 0, 0, 53, 0, 0, 0, 36, 89
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\hashtagspage\templates\HashtagsPage.vue", "vue", 0, 0, 0, 0, 10, 0, 0, 0, 8, 18
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\header\atoms\ImportIcon.vue", "vue", 0, 0, 0, 0, 11, 0, 0, 0, 10, 21
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\header\atoms\SearchBar.vue", "vue", 0, 0, 0, 0, 9, 0, 0, 0, 8, 17
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\header\molecules\Header.vue", "vue", 0, 0, 0, 0, 26, 0, 0, 0, 23, 49
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\languagetoggle\LanguageToggle.vue", "vue", 0, 0, 0, 0, 34, 0, 0, 0, 29, 63
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\login\atoms\FormInput.vue", "vue", 0, 0, 0, 0, 29, 0, 0, 0, 20, 49
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\login\atoms\InstructorPage.vue", "vue", 0, 0, 0, 0, 8, 0, 0, 0, 7, 15
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\login\molecules\LoginField.vue", "vue", 0, 0, 0, 0, 89, 0, 0, 0, 71, 160
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\login\templates\LoginPage.vue", "vue", 0, 0, 0, 0, 10, 0, 0, 0, 8, 18
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\atoms\Dropdown.vue", "vue", 0, 0, 0, 0, 58, 0, 0, 0, 20, 78
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\atoms\EmptyTab.vue", "vue", 0, 0, 0, 0, 11, 0, 0, 0, 10, 21
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\atoms\FormButtons.vue", "vue", 0, 0, 0, 0, 25, 0, 0, 0, 15, 40
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\atoms\ImageSubmitButton.vue", "vue", 0, 0, 0, 0, 61, 0, 0, 0, 52, 113
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\atoms\PlayerInputs.vue", "vue", 0, 0, 0, 0, 161, 0, 0, 0, 105, 266
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\atoms\PlayersFooter.vue", "vue", 0, 0, 0, 0, 30, 0, 0, 0, 28, 58
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\molecules\PlayerInformation.vue", "vue", 0, 0, 0, 0, 180, 0, 0, 0, 99, 279
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\molecules\PlayersTable.vue", "vue", 0, 0, 0, 0, 96, 0, 0, 0, 90, 186
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\molecules\Tabs.vue", "vue", 0, 0, 0, 0, 37, 0, 0, 0, 36, 73
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\organisms\Players.vue", "vue", 0, 0, 0, 0, 69, 0, 0, 0, 50, 119
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\templates\PlayersPage.vue", "vue", 0, 0, 0, 0, 10, 0, 0, 0, 8, 18
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\profilepage\atoms\FormButtons.vue", "vue", 0, 0, 0, 0, 25, 0, 0, 0, 15, 40
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\profilepage\atoms\ImageSubmitButton.vue", "vue", 0, 0, 0, 0, 50, 0, 0, 0, 41, 91
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\profilepage\atoms\ProfileInputs.vue", "vue", 0, 0, 0, 0, 98, 0, 0, 0, 52, 150
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\profilepage\molecules\AccountInfo.vue", "vue", 0, 0, 0, 0, 99, 0, 0, 0, 71, 170
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\profilepage\organisms\Profile.vue", "vue", 0, 0, 0, 0, 8, 0, 0, 0, 7, 15
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\profilepage\templates\ProfilePage.vue", "vue", 0, 0, 0, 0, 12, 0, 0, 0, 8, 20
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\stores\clubStore.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 29, 82
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\stores\courtStore.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 4, 21, 57
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\stores\hashtagStore.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 33, 76
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\stores\languageStore.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 10, 22
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\stores\playerStore.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 20, 58
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\stores\profileStore.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 12, 36
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\stores\trainerStore.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 16, 35
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\stores\trainingStore.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 16, 35
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\atoms\EmptyTab.vue", "vue", 0, 0, 0, 0, 17, 0, 0, 0, 16, 33
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\atoms\FormButtons.vue", "vue", 0, 0, 0, 0, 25, 0, 0, 0, 15, 40
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\atoms\ImageSubmitButton.vue", "vue", 0, 0, 0, 0, 61, 0, 0, 0, 52, 113
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\atoms\NoDataTab.vue", "vue", 0, 0, 0, 0, 11, 0, 0, 0, 10, 21
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\atoms\TrainerInputs.vue", "vue", 0, 0, 0, 0, 161, 0, 0, 0, 105, 266
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\atoms\TrainersFooter.vue", "vue", 0, 0, 0, 0, 30, 0, 0, 0, 28, 58
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\molecules\Tabs.vue", "vue", 0, 0, 0, 0, 37, 0, 0, 0, 36, 73
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\molecules\TrainerInformation.vue", "vue", 0, 0, 0, 0, 164, 0, 0, 0, 95, 259
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\molecules\TrainersTable.vue", "vue", 0, 0, 0, 0, 96, 0, 0, 0, 90, 186
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\organisms\Trainers.vue", "vue", 0, 0, 0, 0, 76, 0, 0, 0, 55, 131
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\templates\TrainersPage.vue", "vue", 0, 0, 0, 0, 10, 0, 0, 0, 8, 18
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\atoms\ArchivedTab.vue", "vue", 0, 0, 0, 0, 11, 0, 0, 0, 10, 21
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\atoms\Dropdown.vue", "vue", 0, 0, 0, 0, 58, 0, 0, 0, 20, 78
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\atoms\EmptyTab.vue", "vue", 0, 0, 0, 0, 17, 0, 0, 0, 16, 33
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\atoms\FormButtons.vue", "vue", 0, 0, 0, 0, 25, 0, 0, 0, 15, 40
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\atoms\ImageSubmitButton.vue", "vue", 0, 0, 0, 0, 61, 0, 0, 0, 52, 113
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\atoms\TrainingInputs.vue", "vue", 0, 0, 0, 0, 182, 0, 0, 0, 108, 290
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\atoms\TrainingsFooter.vue", "vue", 0, 0, 0, 0, 30, 0, 0, 0, 28, 58
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\molecules\Tabs.vue", "vue", 0, 0, 0, 0, 37, 0, 0, 0, 36, 73
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\molecules\TrainingInformation.vue", "vue", 0, 0, 0, 0, 141, 0, 0, 0, 84, 225
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\molecules\TrainingsTable.vue", "vue", 0, 0, 0, 0, 82, 0, 0, 0, 70, 152
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\organisms\Trainings.vue", "vue", 0, 0, 0, 0, 78, 0, 0, 0, 57, 135
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\templates\TrainingsPage.vue", "vue", 0, 0, 0, 0, 10, 0, 0, 0, 8, 18
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\i18n.js", "JavaScript", 209, 0, 0, 0, 0, 0, 0, 1, 53, 263
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\main.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\router\index.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 5, 16, 72
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\style.css", "PostCSS", 0, 42, 0, 0, 0, 0, 0, 0, 39, 81
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\vite.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 2, 9
"Total", "-", 518, 42, 436, 3, 4625, 2261, 13, 62, 3625, 11585